disease,drug
GERD,pantoprazole
GERD,ranitidine
GERD,famotidine
GERD,lansoprazole
GERD,esomeprazole
GERD,rabeprazole
GERD,sucralfate
GERD,dexlansoprazole
GERD,omeprazole
GERD,sodium bicarbonate
Testicular Cancer,cisplatin
Testicular Cancer,etoposide
Testicular Cancer,bleomycin
Testicular Cancer,cyclophosphamide
Testicular Cancer,dactinomycin
Testicular Cancer,ifosfamide
Testicular Cancer,vinblastine
Gestational Diabetes,insulin isophane
Gestational Diabetes,insulin regular
Gestational Diabetes,insulin isophane
Gestational Diabetes,insulin regular
Trophoblastic Disease,methotrexate
Trophoblastic Disease,dinoprostone
Trophoblastic Disease,dactinomycin
Trophoblastic Disease,methotrexate
Trophoblastic Disease,dinoprostone
Trophoblastic Disease,dactinomycin
Giant Cell Arteritis,prednisone
Giant Cell Arteritis,tocilizumab
Giant Cell Arteritis,infliximab
Giant Cell Tumor of Bone,denosumab
Tenosynovial Giant Cell Tumor,pexidartinib
Giardiasis,metronidazole
Giardiasis,nitazoxanide
Giardiasis,tinidazole
Giardiasis,albendazole
Giardiasis,paromomycin
Gender Dysphoria,spironolactone
Gender Dysphoria,estradiol
Gender Dysphoria,testosterone
Gender Dysphoria,progesterone
Gender Dysphoria,medroxyprogesterone
Gender Dysphoria,conjugated estrogens
Hyperbilirubinemia,phenobarbital
Gingivitis,chlorhexidine
Gingivitis,hydrocortisone
Gitelman Syndrome,indomethacin
Forehead Lines,onabotulinumtoxinA
Forehead Lines,prabotulinumtoxinA
Glanders,chloramphenicol
Infectious Mononucleosis,acyclovir
Glanzmann's Disease,coagulation factor viia
Glanzmann's Disease,coagulation factor viia
Glaucoma,acetazolamide
Glaucoma,brimonidine
Glaucoma,timolol
Glaucoma,pilocarpine
Glaucoma,methazolamide
Glaucoma,nadolol
Glaucoma,apraclonidine
Glaucoma,carbachol
Glaucoma,mitomycin
Glaucoma,echothiophate iodide
"Glaucoma, Narrow Angle",pilocarpine
"Glaucoma, Open Angle",latanoprost
"Glaucoma, Open Angle",timolol
"Glaucoma, Open Angle",brimonidine
"Glaucoma, Open Angle",dorzolamide
"Glaucoma, Open Angle",timolol
"Glaucoma, Open Angle",dorzolamide
"Glaucoma, Open Angle",bimatoprost
"Glaucoma, Open Angle",travoprost
"Glaucoma, Open Angle",brinzolamide
"Glaucoma, Open Angle",tafluprost
"Glaucoma, Open Angle",brimonidine
"Glaucoma, Open Angle",brinzolamide
Glaucoma/Intraocular Hypertension,brimonidine
Glaucoma/Intraocular Hypertension,timolol
Glaucoma/Intraocular Hypertension,tafluprost
Glaucoma/Intraocular Hypertension,latanoprostene bunod
Glioblastoma Multiforme,temozolomide
Glioblastoma Multiforme,bevacizumab
Glioblastoma Multiforme,hydroxyurea
Glioblastoma Multiforme,carmustine
Glioblastoma Multiforme,procarbazine
Malignant Glioma,carmustine
Malignant Glioma,bevacizumab
Glomerulonephritis,azathioprine
Glomerulonephritis,penicillin g benzathine
Burning Mouth Syndrome (Glossopyrosis),clonazepam
Burning Mouth Syndrome (Glossopyrosis),gabapentin
Burning Mouth Syndrome (Glossopyrosis),lidocaine
Burning Mouth Syndrome (Glossopyrosis),amitriptyline
Burning Mouth Syndrome (Glossopyrosis),nortriptyline
Burning Mouth Syndrome (Glossopyrosis),capsaicin
Burning Mouth Syndrome (Glossopyrosis),chlordiazepoxide
Glucagonoma,octreotide
Celiac Disease,infliximab
Celiac Disease,infliximab
Gnathostomiasis,albendazole
"Gold Poisoning, Severe",dimercaprol
Gonadotropin Inhibition,ganirelix
Gonadotropin Inhibition,ethinyl estradiol
Gonadotropin Inhibition,levonorgestrel
Gonadotropin Inhibition,ethinyl estradiol
Gonadotropin Inhibition,norgestimate
Gonadotropin Inhibition,ethinyl estradiol
Gonadotropin Inhibition,norethindrone
Gonadotropin Inhibition,desogestrel
Gonadotropin Inhibition,ethinyl estradiol
Osteoarthritis,meloxicam
Osteoarthritis,diclofenac
Osteoarthritis,naproxen
Osteoarthritis,ibuprofen
Osteoarthritis,celecoxib
Osteoarthritis,chondroitin
Osteoarthritis,glucosamine
Osteoarthritis,diclofenac
Osteoarthritis,etodolac
Osteoarthritis,prednisone
Osteoarthritis,aspirin
Osteoarthritis,nabumetone
Osteoarthritis,duloxetine
"Gonococcal Infection, Disseminated",ciprofloxacin
"Gonococcal Infection, Disseminated",cefixime
"Gonococcal Infection, Disseminated",levofloxacin
"Gonococcal Infection, Disseminated",ceftriaxone
"Gonococcal Infection, Disseminated",cefuroxime
"Gonococcal Infection, Disseminated",cefpodoxime
"Gonococcal Infection, Disseminated",ofloxacin
"Gonococcal Infection, Disseminated",penicillin g potassium
"Gonococcal Infection, Disseminated",cefotaxime
"Gonococcal Infection, Disseminated",penicillin g sodium
"Gonococcal Infection, Uncomplicated",azithromycin
"Gonococcal Infection, Uncomplicated",ceftriaxone
"Gonococcal Infection, Uncomplicated",ciprofloxacin
"Gonococcal Infection, Uncomplicated",doxycycline
"Gonococcal Infection, Uncomplicated",cefixime
"Gonococcal Infection, Uncomplicated",levofloxacin
"Gonococcal Infection, Uncomplicated",cefuroxime
"Gonococcal Infection, Uncomplicated",tetracycline
"Gonococcal Infection, Uncomplicated",azithromycin
"Gonococcal Infection, Uncomplicated",ceftriaxone
"Gonococcal Infection, Uncomplicated",ciprofloxacin
"Gonococcal Infection, Uncomplicated",doxycycline
"Gonococcal Infection, Uncomplicated",cefixime
"Gonococcal Infection, Uncomplicated",levofloxacin
"Gonococcal Infection, Uncomplicated",cefuroxime
"Gonococcal Infection, Uncomplicated",tetracycline
Gout,allopurinol
Gout,febuxostat
Gout,probenecid
Gout,pegloticase
Gout,allopurinol
Gout,lesinurad
Gout,lesinurad
Gout,rilonacept
"Gout, Acute",colchicine
"Gout, Acute",indomethacin
"Gout, Acute",naproxen
"Gout, Acute",ibuprofen
"Gout, Acute",methylprednisolone
"Gout, Prophylaxis",colchicine
Gouty Arthritis,prednisone
Gouty Arthritis,colchicine
Gouty Arthritis,probenecid
Gouty Arthritis,dexamethasone
Gouty Arthritis,triamcinolone
Gouty Arthritis,betamethasone
Gouty Arthritis,probenecid
Gouty Arthritis,cortisone
Graft-versus-host disease,prednisone
Graft-versus-host disease,tacrolimus
Graft-versus-host disease,ibrutinib
Graft-versus-host disease,mycophenolate mofetil
Graft-versus-host disease,methotrexate
Graft-versus-host disease,cyclosporine
Graft-versus-host disease,ruxolitinib
Gram Negative Infection,colistimethate
Gram Negative Infection,penicillin g potassium
Gram Negative Infection,penicillin g sodium
Neutropenia,filgrastim
Granuloma Annulare,fluocinonide
Granuloma Annulare,halobetasol
Granuloma Annulare,isotretinoin
Granuloma Inguinale,azithromycin
Granuloma Inguinale,doxycycline
Granuloma Inguinale,minocycline
Granuloma Inguinale,sulfamethoxazole
Granuloma Inguinale,trimethoprim
Granuloma Inguinale,ciprofloxacin
Granulomatosis with Polyangiitis,azathioprine
Granulomatosis with Polyangiitis,rituximab
Granulomatosis with Polyangiitis,cyclophosphamide
Granulomatosis with Polyangiitis,etanercept
Neutropenia,filgrastim
Tympanostomy Tube Placement Surgery,ciprofloxacin
Strep Throat (Streptococcal Pharyngitis),amoxicillin
Strep Throat (Streptococcal Pharyngitis),clavulanate
Strep Throat (Streptococcal Pharyngitis),cefdinir
Strep Throat (Streptococcal Pharyngitis),clarithromycin
Strep Throat (Streptococcal Pharyngitis),erythromycin
Strep Throat (Streptococcal Pharyngitis),cefuroxime
Strep Throat (Streptococcal Pharyngitis),gemifloxacin
Growth Hormone Reserve Test,insulin regular
Growth Hormone Reserve Test,macimorelin
"Growth Retardation, Chronic Renal Failure",somatropin
GTP-CH Deficiency,carbidopa
GTP-CH Deficiency,levodopa
GTP-CH Deficiency,carbidopa
Dental Abscess,amoxicillin
Dental Abscess,metronidazole
Dental Abscess,clarithromycin
Dental Abscess,erythromycin
Gingivitis,chlorhexidine
Gingivitis,hydrocortisone
Mucopolysaccharidosis Type VII,vestronidase alfa
Psoriasis,clobetasol
Psoriasis,methotrexate
Psoriasis,triamcinolone
Psoriasis,fluocinonide
Psoriasis,triamcinolone
Psoriasis,calcipotriene
Psoriasis,mometasone
Psoriasis,desonide
Psoriasis,prednisone
Psoriasis,acitretin
Psoriasis,cyclosporine
Psoriasis,hydrocortisone
Psoriasis,ustekinumab
Psoriasis,adalimumab
Psoriasis,betamethasone
Psoriasis,calcipotriene
Graft-versus-host disease,prednisone
Graft-versus-host disease,tacrolimus
Graft-versus-host disease,ibrutinib
Graft-versus-host disease,mycophenolate mofetil
Graft-versus-host disease,methotrexate
Graft-versus-host disease,cyclosporine
Graft-versus-host disease,ruxolitinib
Gynecological Conditions,misoprostol
Swine Flu,oseltamivir
Swine Flu,zanamivir
Swine Flu,peramivir
Avian Influenza,oseltamivir
Avian Influenza,"influenza virus vaccine, h5n1"
Methicillin-Resistant Staphylococcus Aureus Infection,vancomycin
Methicillin-Resistant Staphylococcus Aureus Infection,linezolid
Methicillin-Resistant Staphylococcus Aureus Infection,daptomycin
Methicillin-Resistant Staphylococcus Aureus Infection,ofloxacin
Methicillin-Resistant Staphylococcus Aureus Infection,dalfopristin
Methicillin-Resistant Staphylococcus Aureus Infection,quinupristin
Hereditary Angioedema,C1 esterase inhibitor (human)
Hereditary Angioedema,ecallantide
Hereditary Angioedema,icatibant
Hereditary Angioedema,conestat alfa
Hereditary Angioedema,lanadelumab
Hemophagocytic Lymphohistiocytosis,emapalumab
Hemophagocytic Lymphohistiocytosis,emapalumab
Haemophilus influenzae Prophylaxis,rifampin
Haemophilus influenzae Prophylaxis,haemophilus b conjugate (prp-t) vaccine
Haemophilus influenzae Prophylaxis,diphtheria toxoid
Haemophilus influenzae Prophylaxis,hepatitis b pediatric vaccine
Haemophilus influenzae Prophylaxis,"pertussis, acellular"
Haemophilus influenzae Prophylaxis,"poliovirus vaccine, inactivated"
Haemophilus influenzae Prophylaxis,tetanus toxoid
Haemophilus influenzae Prophylaxis,diphtheria toxoid
Haemophilus influenzae Prophylaxis,haemophilus b conjugate (prp-t) vaccine
Haemophilus influenzae Prophylaxis,"pertussis, acellular"
Haemophilus influenzae Prophylaxis,"poliovirus vaccine, inactivated"
Haemophilus influenzae Prophylaxis,tetanus toxoid
Haemophilus influenzae Prophylaxis,haemophilus b conjugate (prp-omp) vaccine
Haemophilus influenzae Prophylaxis,diphtheria and tetanus toxoids
Haemophilus influenzae Prophylaxis,"pertussis, acellular"
Haemophilus influenzae Prophylaxis,"poliovirus vaccine, inactivated"
Haemophilus influenzae Prophylaxis,haemophilus b conjugate
Haemophilus influenzae Prophylaxis,hepatitis b vaccine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Hairy Cell Leukemia,cladribine
Hairy Cell Leukemia,pentostatin
Hairy Cell Leukemia,interferon alfa-2b
Hairy Cell Leukemia,moxetumomab pasudotox
Hangover,aspirin
Hangover,caffeine
Atherosclerosis,rosuvastatin
Hashimoto's disease (Chronic Lymphocytic Thyroiditis),levothyroxine
Hashimoto's disease (Chronic Lymphocytic Thyroiditis),thyroid desiccated
Allergic Rhinitis,cetirizine
Allergic Rhinitis,loratadine
Allergic Rhinitis,fluticasone
Allergic Rhinitis,montelukast
Allergic Rhinitis,fexofenadine
Allergic Rhinitis,azelastine
Allergic Rhinitis,diphenhydramine
Allergic Rhinitis,prednisone
Allergic Rhinitis,levocetirizine
"Anemia, Sickle Cell",hydroxyurea
"Anemia, Sickle Cell",vitamin e
"Anemia, Sickle Cell",glutamine
"Anemia, Sickle Cell",crizanlizumab
Hepatocellular Carcinoma,sorafenib
Hepatocellular Carcinoma,nivolumab
Hepatocellular Carcinoma,regorafenib
Hepatocellular Carcinoma,pembrolizumab
Hepatocellular Carcinoma,lenvatinib
Hepatocellular Carcinoma,cabozantinib
Hepatocellular Carcinoma,ramucirumab
Hairy Cell Leukemia,cladribine
Hairy Cell Leukemia,pentostatin
Hairy Cell Leukemia,interferon alfa-2b
Hairy Cell Leukemia,moxetumomab pasudotox
Hypertrophic Cardiomyopathy,nifedipine
Head and Neck Cancer,cetuximab
Head and Neck Cancer,methotrexate
Head and Neck Cancer,nivolumab
Head and Neck Cancer,pembrolizumab
Head and Neck Cancer,docetaxel
Head Imaging,ioversol
Head Imaging,iohexol
Head Injury,amantadine
Head Injury,risperidone
Head Lice,malathion
Head Lice,permethrin
Head Lice,piperonyl butoxide
Head Lice,pyrethrins
Head Lice,ivermectin
Head Lice,spinosad
Head Lice,benzyl alcohol
Head Lice,lindane
Head Lice,sodium chloride
Head Lice,acetic acid
Headache,ibuprofen
Headache,acetaminophen
Headache,butalbital
Headache,caffeine
Headache,naproxen
Headache,trazodone
Headache,aspirin
Headache,butalbital
Headache,caffeine
Headache,acetaminophen
Headache,butalbital
Headache,caffeine
Headache,codeine
Headache,acetaminophen
Headache,butalbital
Heart Attack (Myocardial Infarction),aspirin
Heart Attack (Myocardial Infarction),clopidogrel
Heart Attack (Myocardial Infarction),metoprolol
Heart Attack (Myocardial Infarction),lisinopril
Heart Attack (Myocardial Infarction),nitroglycerin
Heart Attack (Myocardial Infarction),ramipril
Heart Attack (Myocardial Infarction),warfarin
Heart Attack (Myocardial Infarction),atenolol
Heart Attack (Myocardial Infarction),enoxaparin
Heart Failure (Congestive Heart Failure),furosemide
Heart Failure (Congestive Heart Failure),carvedilol
Heart Failure (Congestive Heart Failure),spironolactone
Heart Failure (Congestive Heart Failure),lisinopril
Heart Failure (Congestive Heart Failure),digoxin
Heart Failure (Congestive Heart Failure),metoprolol
Heart Failure (Congestive Heart Failure),isosorbide mononitrate
Heart Failure (Congestive Heart Failure),amlodipine
Heart Failure (Congestive Heart Failure),warfarin
Heart Failure (Congestive Heart Failure),hydralazine
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine
Angina,atorvastatin
Arrhythmia,amiodarone
Arrhythmia,verapamil
Arrhythmia,propranolol
Arrhythmia,dofetilide
Arrhythmia,lidocaine
Arrhythmia,mexiletine
Arrhythmia,disopyramide
Arrhythmia,phenytoin
Arrhythmia,quinidine
Arrhythmia,procainamide
Echocardiography,perflutren
Prosthetic Heart Valves - Thrombosis Prophylaxis,aspirin
Prosthetic Heart Valves - Thrombosis Prophylaxis,warfarin
Prosthetic Heart Valves - Thrombosis Prophylaxis,dipyridamole
GERD,omeprazole
GERD,pantoprazole
GERD,ranitidine
GERD,famotidine
GERD,lansoprazole
GERD,esomeprazole
GERD,rabeprazole
GERD,sucralfate
GERD,dexlansoprazole
GERD,omeprazole
GERD,sodium bicarbonate
Heat Stress,electrolyte replacement solutions
Menorrhagia,tranexamic acid
Menorrhagia,dienogest
Menorrhagia,estradiol
Helicobacter Pylori Infection,omeprazole
Helicobacter Pylori Infection,clarithromycin
Helicobacter Pylori Infection,amoxicillin
Helicobacter Pylori Infection,metronidazole
Helicobacter Pylori Infection,amoxicillin
Helicobacter Pylori Infection,clarithromycin
Helicobacter Pylori Infection,lansoprazole
Helicobacter Pylori Infection,pantoprazole
Helicobacter Pylori Infection,tetracycline
Helicobacter Pylori Infection,bismuth subcitrate potassium
Helicobacter Pylori Infection,metronidazole
Helicobacter Pylori Infection,tetracycline
Helicobacter Pylori Infection,lansoprazole
Helicobacter Pylori Infection,bismuth subsalicylate
Helicobacter Pylori Infection,rabeprazole
Helicobacter Pylori Infection,amoxicillin
Helicobacter Pylori Infection,clarithromycin
Helicobacter Pylori Infection,omeprazole
Helicobacter Pylori Infection,esomeprazole
Hemangioma,propranolol
Migraine,sumatriptan
Migraine,rizatriptan
Migraine,gabapentin
Migraine,aspirin
Migraine,butalbital
Migraine,caffeine
Migraine,cyclobenzaprine
Migraine,diclofenac
Migraine,naratriptan
Migraine,almotriptan
Migraine,zolmitriptan
Migraine,eletriptan
Hemochromatosis,deferasirox
"Anemia, Sickle Cell",hydroxyurea
"Anemia, Sickle Cell",vitamin e
"Anemia, Sickle Cell",glutamine
"Anemia, Sickle Cell",crizanlizumab
Hemolytic Anemia,dexamethasone
Hemolytic Anemia,triamcinolone
Hemolytic Anemia,cortisone
Hemolytic Uremic Syndrome,eculizumab
Hemolytic Uremic Syndrome,ravulizumab
Hemophagocytic Lymphohistiocytosis,emapalumab
Hemophagocytic Lymphohistiocytosis,emapalumab
Hemophilia A,antihemophilic factor
Hemophilia A,desmopressin
Hemophilia A,tranexamic acid
Hemophilia A,anti-inhibitor coagulant complex
Hemophilia A,antihemophilic factor
Hemophilia A,von willebrand factor
Hemophilia A with Inhibitors,factor ix complex
Hemophilia A with Inhibitors,emicizumab
Hemophilia B,coagulation factor ix
Hemophilia B,factor ix complex
Hemophilia B,coagulation factor viia
Hemorrhagic Cystitis Prophylaxis,mesna
Alport Syndrome,lisinopril
Alport Syndrome,losartan
Alport Syndrome,enalapril
Alport Syndrome,fosinopril
Alport Syndrome,candesartan
Alport Syndrome,quinapril
Hemorrhoids,hydrocortisone
Hemorrhoids,lidocaine
Hemorrhoids,hydrocortisone
Hemorrhoids,pramoxine
Hemorrhoids,phenylephrine
Hemorrhoids,dibucaine
Hemorrhoids,hydrocortisone
Hemorrhoids,lidocaine
Hemorrhoids,pramoxine
Hemosiderosis,deferasirox
Hemosiderosis,deferiprone
Hemostasis,fibrin sealant
Hemostasis,thrombin
Heparin Overdose,protamine
Hepatic Coma,neomycin
Hepatic Coma,paromomycin
Hepatic Encephalopathy,lactulose
Hepatic Encephalopathy,rifaximin
Hepatic Encephalopathy,neomycin
Hepatic Tumor,sorafenib
Thrombotic/Thromboembolic Disorder,heparin
Thrombotic/Thromboembolic Disorder,argatroban
Thrombotic/Thromboembolic Disorder,alteplase
Thrombotic/Thromboembolic Disorder,urokinase
Hepatic Veno-Occlusive Disease,defibrotide
Hepatitis A,immune globulin intramuscular
Hepatitis A Prophylaxis,hepatitis a adult vaccine
Hepatitis A Prophylaxis,hepatitis a adult vaccine
Hepatitis A Prophylaxis,hepatitis b adult vaccine
Hepatitis A Prophylaxis,hepatitis a pediatric vaccine
Hepatitis B,entecavir
Hepatitis B,tenofovir
Hepatitis B,lamivudine
Hepatitis B,adefovir
Hepatitis B,tenofovir alafenamide
Hepatitis B,interferon alfa-2b
Hepatitis B,peginterferon alfa-2a
Hepatitis B,peginterferon alfa-2b
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b adult vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis a adult vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b adult vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b pediatric vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),diphtheria toxoid
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b pediatric vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),"pertussis, acellular"
Hepatitis B Prevention (Hepatitis B Prophylaxis),"poliovirus vaccine, inactivated"
Hepatitis B Prevention (Hepatitis B Prophylaxis),tetanus toxoid
Hepatitis B Prevention (Hepatitis B Prophylaxis),diphtheria and tetanus toxoids
Hepatitis B Prevention (Hepatitis B Prophylaxis),"pertussis, acellular"
Hepatitis B Prevention (Hepatitis B Prophylaxis),"poliovirus vaccine, inactivated"
Hepatitis B Prevention (Hepatitis B Prophylaxis),haemophilus b conjugate
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b adult vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis a adult vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b adult vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b pediatric vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),diphtheria toxoid
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b pediatric vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),"pertussis, acellular"
Hepatitis B Prevention (Hepatitis B Prophylaxis),"poliovirus vaccine, inactivated"
Hepatitis B Prevention (Hepatitis B Prophylaxis),tetanus toxoid
Hepatitis B Prevention (Hepatitis B Prophylaxis),diphtheria and tetanus toxoids
Hepatitis B Prevention (Hepatitis B Prophylaxis),"pertussis, acellular"
Hepatitis B Prevention (Hepatitis B Prophylaxis),"poliovirus vaccine, inactivated"
Hepatitis B Prevention (Hepatitis B Prophylaxis),haemophilus b conjugate
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b vaccine
Hepatitis B,entecavir
Hepatitis B,tenofovir
Hepatitis B,lamivudine
Hepatitis B,adefovir
Hepatitis B,tenofovir alafenamide
Hepatitis B,interferon alfa-2b
Hepatitis B,peginterferon alfa-2a
Hepatitis B,peginterferon alfa-2b
Hepatitis C,ribavirin
Hepatitis C,ledipasvir
Hepatitis C,sofosbuvir
Hepatitis C,sofosbuvir
Hepatitis C,sofosbuvir
Hepatitis C,velpatasvir
Hepatitis C,peginterferon alfa-2a
Hepatitis C,dasabuvir
Hepatitis C,ombitasvir
Hepatitis C,paritaprevir
Hepatitis C,ritonavir
Hepatitis C,elbasvir
Hepatitis C,grazoprevir
Hepatitis C,interferon alfa-2b
Hepatitis C,peginterferon alfa-2b
Hepatitis C,glecaprevir
Hepatitis C,pibrentasvir
Hepatitis C,sofosbuvir
Hepatitis C,velpatasvir
Hepatitis C,voxilaprevir
Hepatitis C,ribavirin
Hepatitis C,ledipasvir
Hepatitis C,sofosbuvir
Hepatitis C,sofosbuvir
Hepatitis C,sofosbuvir
Hepatitis C,velpatasvir
Hepatitis C,peginterferon alfa-2a
Hepatitis C,dasabuvir
Hepatitis C,ombitasvir
Hepatitis C,paritaprevir
Hepatitis C,ritonavir
Hepatitis C,elbasvir
Hepatitis C,grazoprevir
Hepatitis C,interferon alfa-2b
Hepatitis C,peginterferon alfa-2b
Hepatitis C,glecaprevir
Hepatitis C,pibrentasvir
Hepatitis C,sofosbuvir
Hepatitis C,velpatasvir
Hepatitis C,voxilaprevir
Hepatocellular Carcinoma,sorafenib
Hepatocellular Carcinoma,nivolumab
Hepatocellular Carcinoma,regorafenib
Hepatocellular Carcinoma,pembrolizumab
Hepatocellular Carcinoma,lenvatinib
Hepatocellular Carcinoma,cabozantinib
Hepatocellular Carcinoma,ramucirumab
Herbal Supplementation,bioflavonoids
Hereditary Angioedema,C1 esterase inhibitor (human)
Hereditary Angioedema,ecallantide
Hereditary Angioedema,icatibant
Hereditary Angioedema,conestat alfa
Hereditary Angioedema,lanadelumab
Alport Syndrome,lisinopril
Alport Syndrome,losartan
Alport Syndrome,enalapril
Alport Syndrome,fosinopril
Alport Syndrome,candesartan
Alport Syndrome,quinapril
Hereditary Orotic Aciduria,uridine
Hereditary Tyrosinemia Type 1,nitisinone
Hiatal Hernia,omeprazole
Hiatal Hernia,ranitidine
Hiatal Hernia,lansoprazole
Hiatal Hernia,famotidine
Hiatal Hernia,aluminum hydroxide
Hiatal Hernia,magnesium hydroxide
Hiatal Hernia,simethicone
Hiatal Hernia,aluminum hydroxide
Hiatal Hernia,magnesium trisilicate
Herniated Disk,naproxen
Herniated Disk,ibuprofen
Ramsay Hunt Syndrome,acyclovir
Ramsay Hunt Syndrome,prednisone
Ramsay Hunt Syndrome,valacyclovir
Herpes Simplex,acyclovir
Herpes Simplex,acyclovir
Herpes Simplex,docosanol
Herpes Simplex,allantoin
Herpes Simplex,camphor
Herpes Simplex,phenol
Herpes Simplex,valacyclovir
Herpes Simplex - Congenital,acyclovir
Herpes Simplex Dendritic Keratitis,ganciclovir
Herpes Simplex Encephalitis,acyclovir
Cold Sores (Herpes Simplex Labialis),valacyclovir
Cold Sores (Herpes Simplex Labialis),acyclovir
Cold Sores (Herpes Simplex Labialis),acyclovir
Cold Sores (Herpes Simplex Labialis),famciclovir
Cold Sores (Herpes Simplex Labialis),benzocaine
Cold Sores (Herpes Simplex Labialis),acyclovir
Cold Sores (Herpes Simplex Labialis),hydrocortisone
Cold Sores (Herpes Simplex Labialis),penciclovir
Cold Sores (Herpes Simplex Labialis),tetracaine
Cold Sores (Herpes Simplex Labialis),benzyl alcohol
"Herpes Simplex, Mucocutaneous/Immunocompetent Host",valacyclovir
"Herpes Simplex, Mucocutaneous/Immunocompetent Host",acyclovir
"Herpes Simplex, Mucocutaneous/Immunocompetent Host",famciclovir
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",valacyclovir
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",acyclovir
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",famciclovir
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",foscarnet
"Herpes Simplex, Suppression",valacyclovir
"Herpes Simplex, Suppression",acyclovir
"Herpes Simplex, Suppression",famciclovir
Herpes Zoster,acyclovir
Herpes Zoster,valacyclovir
Herpes Zoster,famciclovir
Herpes Zoster,prednisone
Ramsay Hunt Syndrome,acyclovir
Ramsay Hunt Syndrome,prednisone
Ramsay Hunt Syndrome,valacyclovir
Herpes Zoster Iridocyclitis,prednisone
Ramsay Hunt Syndrome,acyclovir
Ramsay Hunt Syndrome,prednisone
Ramsay Hunt Syndrome,valacyclovir
Ramsay Hunt Syndrome,acyclovir
Ramsay Hunt Syndrome,prednisone
Ramsay Hunt Syndrome,valacyclovir
"Herpes Zoster, Prophylaxis",zoster vaccine live
"Herpes Zoster, Prophylaxis","zoster vaccine, inactivated"
Herpetic Keratitis,trifluridine
Herpetic Keratitis,acyclovir
"Heterophyes heterophyes, Intestinal Fluke",praziquantel
"Heterotopic Ossification, Spinal Cord Injury",etidronate
"Heterotopic Ossification, Total Hip Arthroplasty",etidronate
"High Cholesterol, Familial Heterozygous",atorvastatin
"High Cholesterol, Familial Heterozygous",pravastatin
"High Cholesterol, Familial Heterozygous",simvastatin
"High Cholesterol, Familial Heterozygous",ezetimibe
"High Cholesterol, Familial Heterozygous",rosuvastatin
"High Cholesterol, Familial Heterozygous",lovastatin
"High Cholesterol, Familial Heterozygous",ezetimibe
"High Cholesterol, Familial Heterozygous",simvastatin
"High Cholesterol, Familial Heterozygous",evolocumab
"High Cholesterol, Familial Heterozygous",alirocumab
"High Cholesterol, Familial Heterozygous",fluvastatin
"High Cholesterol, Familial Heterozygous",atorvastatin
"High Cholesterol, Familial Heterozygous",pravastatin
"High Cholesterol, Familial Heterozygous",simvastatin
"High Cholesterol, Familial Heterozygous",ezetimibe
"High Cholesterol, Familial Heterozygous",rosuvastatin
"High Cholesterol, Familial Heterozygous",lovastatin
"High Cholesterol, Familial Heterozygous",ezetimibe
"High Cholesterol, Familial Heterozygous",simvastatin
"High Cholesterol, Familial Heterozygous",evolocumab
"High Cholesterol, Familial Heterozygous",alirocumab
"High Cholesterol, Familial Heterozygous",fluvastatin
Ehrlichiosis,doxycycline
Ehrlichiosis,tetracycline
Ehrlichiosis,doxycycline
Ehrlichiosis,tetracycline
Hiatal Hernia,omeprazole
Hiatal Hernia,ranitidine
Hiatal Hernia,lansoprazole
Hiatal Hernia,famotidine
Hiatal Hernia,aluminum hydroxide
Hiatal Hernia,magnesium hydroxide
Hiatal Hernia,simethicone
Hiatal Hernia,aluminum hydroxide
Hiatal Hernia,magnesium trisilicate
Hiccups,chlorpromazine
Hiccups,baclofen
Hiccups,prochlorperazine
Hiccups,gabapentin
Hidradenitis Suppurativa,adalimumab
Hyperimmunoglobulin D Syndrome,canakinumab
High Blood Pressure (Hypertension),lisinopril
High Blood Pressure (Hypertension),amlodipine
High Blood Pressure (Hypertension),losartan
High Blood Pressure (Hypertension),hydrochlorothiazide
High Blood Pressure (Hypertension),metoprolol
